endpoint_id,archive_id,purpose,field,new_value,verdict,evidence
f12e6d68fd83a9e3,ioos-dmac,data-download,path_or_url,https://gliders.ioos.us/erddap/tabledap/{datasetID}.csv?{vars}&time%3E={start}&time%3C={end},wrong-host-for-content,"erddap.ioos.us carries no glider datasets at all (its tabledap list is allDatasets, OBIS, ra_regional_boundaries, by_the_numbers, processed/raw_asset_inventory, atn_cacheFromUrl_collection). Gliders live on the Glider DAC ERDDAP; verified 200 CSV. Variable is 'temperature', not 'sea_water_temperature'."
f12e6d68fd83a9e3,ioos-dmac,data-download,example_call,"curl 'https://gliders.ioos.us/erddap/tabledap/ru32-20190102T1317.csv?time,latitude,longitude,depth,temperature&time%3E=2019-01-02&time%3C=2019-01-04'",wrong-host-for-content,verified 200 real CSV
a05e0d20783c789a,ioos-dmac,data-download,path_or_url,https://coastwatch.pfeg.noaa.gov/erddap/griddap/{datasetID}.nc?{var}[({t0}):({t1})][({lat0}):({lat1})][({lon0}):({lon1})],wrong-host-for-content,erddap.ioos.us has exactly one griddap dataset (etopo5_EDDGridCopy); the documented jplMURSST41 lives at coastwatch.pfeg.noaa.gov. Not fetched to avoid a large pull - flag as unverified-replacement.
99ac9ebe36d96fc0,ltar-data,search,path_or_url,https://api.figshare.com/v2/articles/search,api-migrated,data.nal.usda.gov CKAN API is gone: /api/3/action/package_search returns HTML after 2 redirects to nal.usda.gov/services/agdatacommons. Ag Data Commons is now Figshare-hosted at agdatacommons.nal.usda.gov. The ckan tag and access-ckan.md cross-reference on this page are stale.
99ac9ebe36d96fc0,ltar-data,search,example_call,"curl -H 'Content-Type: application/json' -d '{""search_for"":""Walnut Gulch"",""limit"":3}' https://api.figshare.com/v2/articles/search",api-migrated,"verified 200 JSON with records whose url_public_html is under agdatacommons.nal.usda.gov. POST, not GET."
99ac9ebe36d96fc0,ltar-data,search,method,POST,api-migrated,figshare search is a POST with a JSON body
10567a0f0f1068eb,glims,wms,path_or_url,https://www.glims.org/geoserver/wms,host-path-moved,"/glimsview/ tree removed (404 from nginx). GeoServer endpoint verified 200 image/png 13922 bytes. Layer 'glaciers' no longer exists; valid layers include GLIMS:GLIMS_GLACIERS_GROUP, GLIMS:RGI70, GLIMS:GLIMS_Glacier_Outlines."
10567a0f0f1068eb,glims,wms,example_call,"curl -o glims.png 'https://www.glims.org/geoserver/wms?service=WMS&version=1.1.1&request=GetMap&layers=GLIMS:GLIMS_GLACIERS_GROUP&bbox=-180,-90,180,90&width=512&height=256&srs=EPSG:4326&format=image/png'",host-path-moved,verified 200 image/png
20ba97edcccf84c3,gbif,metadata,example_call,curl https://api.gbif.org/v1/dataset/7175660d-a6a4-4ecd-91fd-d3d86515c5c3,fabricated-example-id,"documented UUID 8a17a44a-0c54-4c6d-86cf-2b2a8d8a5b9b returns 404 'Entity not found for uri: /'. Endpoint healthy. Replacement is a real SERC dataset, matching this page's depositor."
1850a47031bc2678,knb,data-download,example_call,curl -o data.csv 'https://knb.ecoinformatics.org/knb/d1/mn/v2/object/doi%3A10.5063%2FAA%2Fnrs.541.1',fabricated-example-id,documented PID doi:10.5063/F1XW4H1F does not exist - Solr q=id:'doi:10.5063/F1XW4H1F' returns numFound 0 and the object call 404s with detailCode 1420. Endpoint healthy.
0d347a67d5348347,arctic-data-center,data-download,example_call,curl -o data.zip 'https://arcticdata.io/metacat/d1/mn/v2/object/doi%3A10.18739%2FA2Q23R20H',fabricated-example-id,documented DOI 10.18739/A2QV3C53P was never minted - 404 at the node AND 404 at api.datacite.org/dois/. Replacement verified 206 EML 2.2 XML.
dea1822e37b10f0b,arctic-data-center,landing,example_call,open 'https://arcticdata.io/catalog/view/doi:10.18739/A2PR7MW2P',fabricated-example-id,"documented PID does not exist; the catalog is a JS SPA that returns HTTP 200 for any path, so the 200 was meaningless - Solr numFound 0, DataCite 404."
6f4f0af2ebd30993,bco-dmo,listing,path_or_url,https://www.bco-dmo.org/api/project/{project_id},api-path-changed,the /v1 prefix is dead (404 HTML). Dropping /v1 verified 200 JSON-LD. API root bullet should become https://www.bco-dmo.org/api (which itself redirects to osprey.bco-dmo.org/api).
df5d2348e3b852d9,bco-dmo,metadata,path_or_url,https://www.bco-dmo.org/api/dataset/{dataset_id},api-path-changed,verified 200 application/json JSON-LD with odo:/osprey context
b6d7ae835b7fda4c,bco-dmo,data-download,path_or_url,https://datadocs.bco-dmo.org/file/{fileToken}/{filename},api-path-changed,"the documented /dataset/{id}/data/download redirects to an HTML landing page, not CSV. Real downloads are per-file tokens discoverable on the landing page; https://datadocs.bco-dmo.org/file/R88Xyz5SRprxzJ/Bottle_Data.csv verified 206 real CSV."
e559a4db39bd8d4f,calcofi,data-download,example_call,curl -O 'https://calcofi.org/downloads/database/CalCOFI_Database_194903-202105_csv_16October2023.zip',stale-release-filename,the 2021 release filename 404s (Apache error page). Current release verified 206 application/zip. Documented response_format text/csv is also wrong - the artifact is a zip.
e559a4db39bd8d4f,calcofi,data-download,response_format,application/zip,stale-release-filename,the artifact is a zip archive of CSVs
65b97e5820f65282,ess-dive,search,example_call,curl 'https://api.ess-dive.lbl.gov/packages?text=NGEE-Arctic&rowStart=1&pageSize=25',off-by-one,rowStart=0 returns 400 with [value_error.number.not_ge] 'query.rowStart' ensure this value is greater than or equal to 1. rowStart=1 verified 200 with total 491.
a0f0db2cbabdf040,noaa-foss,data-access,DELETE-ROW,,table-does-not-exist,"FOSS moved to Oracle ORDS at apps-st.fisheries.noaa.gov/ods/foss/ and its metadata-catalog exposes LANDINGS, TRADE_DATA, TRADE_DATA_ANNUAL, GEARS, PROCESSED_PRODUCTS, AFSC_GROUNDFISH_SURVEY_* - there is no PERMITS table. The old URL is additionally Akamai-403 blocked."
a55601811386ae75,noaa-foss,data-access,path_or_url,https://apps-st.fisheries.noaa.gov/ods/foss/landings/,api-migrated,"old /foss/f?p=215:200 URLs return Akamai 403 (hard edge block, identical with a browser UA) and were APEX UI pages returning HTML, contradicting the documented application/json. New ORDS endpoint verified 200 JSON."
a55601811386ae75,noaa-foss,data-access,example_call,curl 'https://apps-st.fisheries.noaa.gov/ods/foss/landings/?limit=2',api-migrated,"verified 200 JSON: {'items':[{'tsn':'168909','ts_afs_name':'SNAPPER, VERMILION','state_name':'ALABAMA','year':1991,'pounds':375836,...}]}"
e91ae155f7bd9677,noaa-inport,metadata,path_or_url,https://www.fisheries.noaa.gov/inport/item/{catalog_item_id}/inport-xml,api-decommissioned,"the whole /inport/api/v1 tree is gone (404) and the help index for release 6.0.8 lists no API guide. Per-item metadata is now XML, not JSON; verified 200 <inport-metadata><catalog-item-id>22561</catalog-item-id><title>Spring Bottom Trawl Survey</title>."
e91ae155f7bd9677,noaa-inport,metadata,response_format,application/xml,api-decommissioned,the replacement returns XML; the JSON API no longer exists
d9be00922b8fe04c,noaa-inport,metadata,DELETE-ROW,,api-decommissioned,"organization lookup by numeric id is gone entirely - /inport/organization/9 and /inport/organizations/9 both 404. Only slugs work (/inport/organizations/nmfs, /nos, /partners), which is a different addressing scheme, not a URL edit."
97a9725be3bca9e8,noaa-inport,search,DELETE-ROW,,api-decommissioned,no JSON search endpoint exists any more; /inport/q?keywords= returns HTML. Keeping a row that promises application/json would be a false claim.
1f6d6da1884ebb93,neracoos-erddap,data-download,path_or_url,https://data.neracoos.org/erddap/tabledap/{datasetID}.csv?{vars}&time%3E={start}&time%3C={end},host-moved,"www.neracoos.org/erddap/* 301s to data.neracoos.org DISCARDING the path and query, so no deep link on the documented host ever reaches data. Documented variable sea_water_temperature also returns 400 Unrecognized variable on this server."
1f6d6da1884ebb93,neracoos-erddap,data-download,example_call,"curl 'https://data.neracoos.org/erddap/tabledap/A01_ocean_001m.csv?time,latitude,longitude,temperature&time%3E=2024-01-01&time%3C=2024-01-02'",host-moved,"verified 200 real CSV: 2024-01-01T00:00:00Z,42.5232,-70.5655,6.6765"
91d69b5be0863a8e,neracoos-erddap,data-download,DELETE-ROW,,protocol-absent,"NERACOOS ERDDAP hosts zero griddap datasets ('Currently, there are no datasets with protocol=griddap'), so no datasetID substitution can make this row work."
f7abca90eb5f0f94,cencoos-erddap,data-download,DELETE-ROW,,protocol-absent,"CeNCOOS ERDDAP has no griddap datasets - griddap/index.csv returns 400 'Currently, there are no datasets with protocol=griddap'. Unfixable by substitution."
af51a9b1ce5a2490,cencoos-erddap,data-download,example_call,curl 'http://erddap.cencoos.org/erddap/tabledap/067-san-nicolas-island-ca-46219.csv?time%2Clatitude%2Clongitude%2Csea_water_temperature&time%3E=2024-01-01T00%3A00%3A00Z&time%3C=2024-01-01T06%3A00%3A00Z',template-placeholder-leak,example shipped the literal <datasetID> and unencoded operators; as written it returns 400 Tomcat HTML. Replacement verified 200 CSV. sea_water_temperature IS correct on CeNCOOS (unlike AOOS).
0bac6fd1f9cbe875,aoos-erddap,data-download,example_call,curl 'http://erddap.aoos.org/erddap/tabledap/46060-west-orca-bay-36nm-south-s.csv?time%2Clatitude%2Clongitude%2Csea_surface_temperature&time%3E=2024-01-01T00%3A00%3A00Z&time%3C=2024-01-02T00%3A00%3A00Z',template-placeholder-leak,example shipped literal <datasetID>; also sea_water_temperature does not exist on AOOS sensor datasets (it is sea_surface_temperature) and unencoded >= makes this server 500 with 'Illegal character in query'. Replacement verified 200 CSV.
01fc81f8d9054379,aoos-erddap,data-download,example_call,curl -g -o out.nc 'http://erddap.aoos.org/erddap/griddap/CBHAR_WRF_SFC_1979_2009.nc?T2[(2009-01-01T00:00:00Z):1:(2009-01-01T01:00:00Z)][0:1:2][0:1:2]',template-placeholder-leak,"verified 200 application/x-netcdf 8640 bytes, magic CDF. Note these datasets are dimensioned time,NY,NX (index-based), not the documented lat/lon form."
dd2e8b27de6edd0f,gcoos-erddap,data-download,example_call,"curl 'https://erddap.gcoos.org/erddap/tabledap/wmo_42395.csv?time,latitude,longitude,sea_surface_temperature&time%3E=2024-01-01&time%3C=2024-01-02'",template-placeholder-leak,"example shipped literal <datasetID>; GCOOS uses sea_surface_temperature not sea_water_temperature. Corrected call verified: 2024-01-01T00:00:00Z,26.404,-90.792,25.06"
0fa0cc9076a537aa,gcoos-erddap,data-download,DELETE-ROW,,protocol-absent,"GCOOS ERDDAP is tabledap-only: griddap/index.json returns 400 'Currently, there are no datasets with protocol=griddap'."
0cd7318a4b2483dc,noaa-gml,data-download,example_call,curl -O 'https://gml.noaa.gov/aftp/data/trace_gases/co2/in-situ/surface/txt/co2_mlo_surface-insitu_1_ccgg_MonthlyData.txt',path-restructured,"the mlo/ directory level no longer exists (surface/ is 200, surface/mlo/ is 404); the tree was flattened into txt/ and nc/. Replacement verified 200 text/plain with the dataset header."
071f119fb837c2f3,marinegeo,listing,path_or_url,https://raw.githubusercontent.com/MarineGEO/protocols/master/README.md,repo-renamed,"MarineGEO/marinegeo-database does not exist (404). The live repo is MarineGEO/protocols; verified 200 real markdown. Branch is master, not main. Access bullets should become https://github.com/MarineGEO/protocols and https://marinegeo.si.edu/."
dbddd39bd72ad073,mgds,search,path_or_url,https://www.marine-geo.org/services/search/datasets?general_type={type},api-path-changed,MGDSDatasets service no longer exists (404 Apache). Replacement verified 200 with <doc><count>12276</count><data_sets>. API-doc bullet /tools/services.php is 404; correct page is /tools/web_services.php.
dbddd39bd72ad073,mgds,search,response_format,application/xml,api-path-changed,the replacement returns XML and ignores format=json - the documented application/json was never accurate
884bc93c1b7fe7d0,nadp,data-download,path_or_url,https://api.slh.wisc.edu/nadp/nadpApiMain.php,api-migrated,"the whole datalib/cgi-bin era is gone - /datalib/ntn/ntn-NH02-w.csv returns the 155 KB WordPress 404 page as text/html. The site's own data-download.js POSTs to this API host. pageIds: ntnWeekly, mdnWeekly, amon, Amnet, Precip, siteList, siteInfo."
884bc93c1b7fe7d0,nadp,data-download,method,POST,api-migrated,the replacement is a POST form submission
01d7ae4d6887b57d,nadp,metadata,path_or_url,https://api.slh.wisc.edu/nadp/nadpApiMain.php?net={NET}&siteId={SITE_ID}&pageId=siteInfo,api-migrated,"the .aspx app is retired (WordPress 404). This JSON form needs no password and was verified 200: {'data':[{'network':'NTN','siteId':'NH02','siteName':'Hubbard Brook',...}]}. Human page is /sites/ntn-NH02/ WITH the trailing slash."
01d7ae4d6887b57d,nadp,metadata,response_format,application/json,api-migrated,the replacement returns JSON rather than the old HTML page
1c9150cdb7e9d4b5,nanoos-erddap,data-download,example_call,"curl 'https://data.nanoos.org/erddap/tabledap/backyardbuoys_quileute_center.csv?time,latitude,longitude&time%3E=2024-09-01&time%3C=2024-09-02'",template-placeholder-leak,"example shipped literal <datasetID>; this server sits behind Tomcat which rejects unencoded < and > outright, so even a real ID 400s without percent-encoding. Replacement verified 200 CSV."
b12316d3f4ce902b,nanoos-erddap,data-download,example_call,curl -g -o out.nc 'https://data.nanoos.org/erddap/griddap/orca_hydro_pointwells.nc?sea_water_temperature%5B(2024-01-01):(2024-01-03)%5D%5B(0):(10)%5D',template-placeholder-leak,"verified 200 application/x-netcdf 27824 bytes. -g required (curl globs the brackets). These griddap sets are indexed by cast_start_time/depth, not the documented time/lat/lon 3-axis form."
e5d1a28b20d8e63e,nasa-earthdata,search,example_call,"curl 'https://cmr.earthdata.nasa.gov/search/granules.json?short_name=ATL06&version=007&temporal=2024-01-01T00:00:00Z,2024-01-31T23:59:59Z&bounding_box=-180,60,180,90&page_size=100'",stale-version,"documented version=006 returns 200 with an EMPTY entry list - ATL06 v006 granules are retired. Isolated: v006 alone returns 0, v007 returns granules. A 200-with-no-results is the failure mode a status-code checker would miss."
68e4b2a519dc7fc2,nasa-earthdata,search,example_call,curl 'https://cmr.earthdata.nasa.gov/search/collections.json?keyword=sea+ice&data_center=NSIDC_CPRD&page_size=50',stale-provider-id,"documented data_center=NSIDC_ECS returns 200 with zero entries; the provider moved to NSIDC_CPRD (e.g. C2670138092-NSIDC_CPRD). keyword alone returns results, isolating the provider id as the fault."
2d58f89687917d2f,nasa-obdaac,data-download,path_or_url,https://oceandata.sci.gsfc.nasa.gov/getfile/{filename},path-restructured,"the /ob prefix now 301s; canonical path drops it. Still Earthdata-Login gated, which this page documents correctly."
1ed5c659d74fa2b1,nasa-obdaac,search,path_or_url,https://oceandata.sci.gsfc.nasa.gov/file_search,api-migrated,"the documented GET /api/file_search/ returns a 25-byte 'Filename pattern invalid' body, and glob variants 502. Per the archive's own help page this is a POST to /file_search with sensor_id or sensor (name form e.g. Aqua-MODIS, not 'aqua') and dtid REQUIRED."
1ed5c659d74fa2b1,nasa-obdaac,search,method,POST,api-migrated,the search service is POST-only
1ed5c659d74fa2b1,nasa-obdaac,search,example_call,curl -X POST -d 'sensor_id=7&dtid=1043&sdate=2024-01-01&edate=2024-01-05&period=DAY&results_as_file=1&addurl=1' https://oceandata.sci.gsfc.nasa.gov/file_search,api-migrated,"verified 200, 17 KB of getfile URLs. dtid 1043 = Aqua-MODIS L3 Mapped Ocean Color refined. Any search= glob triggers the invalid-pattern rejection."
a7b0501db52686d4,nefsc-erddap,data-access,example_call,curl 'https://comet.nefsc.noaa.gov/erddap/tabledap/ocdbs_v_erddap1.csv?cruise_id&distinct()',stale-dataset-id,"documented ecomon_v3_8 is unknown to the server (404, and none of its 20 datasets contain 'ecomon'). The EcoMon/hydrographic series is now ocdbs_v_erddap1; note its time variable is UTC_DATETIME, not time. Verified 200 text/csv."
5988da67cecb887e,neon-data-portal,vocabulary,path_or_url,https://data.neonscience.org/api/v0/samples/supportedClasses,wrong-endpoint,"/samples/classes without parameters returns 400 'Received invalid parameter for request' - it requires a sample identifier. If a parameter-free vocabulary listing was the intent, supportedClasses is the right endpoint; verified 200 with 29 KB of class definitions."
b6eb1a4b0a327da6,noaa-ncei,metadata,path_or_url,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id={collection_id};view=xml;responseType=text/xml,wrong-content-negotiation,"the documented URL returns 200 text/html (the human landing page), contradicting the declared application/xml. Adding the view params returns 200 text/xml, 104 KB <gmi:MI_Metadata>."
5191e96fd5c07f74,noaa-ncei,search,path_or_url,"https://www.ncei.noaa.gov/access/services/search/v1/data?dataset={dataset}&bbox={N},{W},{S},{E}&startDate={start}&endDate={end}",invalid-parameter,the search service rejects format= with 400 'Invalid search options'; bbox and dates are fine alone. Dropping format=json returns 200 application/json. ISO datetimes with T..Z additionally 500.
9f837f3ff359de0c,noaa-ncei,data-download,DELETE-ROW,,no-static-url,"the NERRS SWMP flat zip pattern is dead: /aqs/zips/{reserve}{year}.zip 404s for every combination tried and /aqs/zips/ is 403. Zips are built by a form POST; machine access is the CDMO SOAP service. This row belongs on the nerr-cdmo page, not NCEI, and cannot be repaired as a URL."
77c92c8c40f40844,nps-irma,metadata,path_or_url,https://irmaservices.nps.gov/datastore/v7/rest/Profile?q={reference_id},api-version-retired,"the entire datastore/v6 REST API returns 500 (IIS) including its own /help. v7 is live and returns JSON; note v7 has NO Reference controller (404 'No type was found that matches the controller named Reference'), so the path shape changes too. Verified 200, 93 KB JSON."
4e2767b92ebd5aa8,nps-irma,data-download,path_or_url,https://irma.nps.gov/DataStore/DownloadFile/{digital_file_id},api-version-retired,"downloads move to the WEB host, not the service host; v6 service path 500s. Verified 206 application/xml, real EML. File ids come from filesAndLinks[].fileId in the v7 Profile response."
62bd4239867b9346,nps-irma,search,path_or_url,https://irmaservices.nps.gov/datastore/v7/rest/QuickSearch?q={query}&top={n},api-version-retired,"v6 AdvancedSearch/Composite 500s; v7 has the Composite controller but it is POST-only and the body shape could not be derived (probes returned []). QuickSearch is the verified JSON search: 200, 5.6 KB with referenceId/title/fileCount."
84c917c9ca7d5a74,nps-irma,search,DELETE-ROW,,client-side-only,irma.nps.gov/DataStore/Search/Quick/{q} returns 200 text/html with ZERO results - the page fetches results client-side from /DataStore/Search/QuickSearch. A 200 here is meaningless for machine access; the v7 QuickSearch row replaces it.
9a2927700a70440e,nrcs-awdb,data-download,path_or_url,https://wcc.sc.egov.usda.gov/reportGenerator/view_csv/customMultiTimeSeriesGroupByStationReport/{interval}/{station-triplet}/{vars-with-::value-suffix},silent-empty-result,"without the ::value suffix on each element the report returns 200 with a ZERO-BYTE body - no header, no warning. Adding ::value returns 7.4 KB of real rows. Another 200-that-is-really-a-failure."
59a0c77bc1244254,nrcs-awdb,listing,path_or_url,https://wcc.sc.egov.usda.gov/awdbRestApi/services/v1/stations?stationTriplets=*:*:{network}&returnReservoirMetadata=false,silently-ignored-parameter,"networkCds is SILENTLY IGNORED - the documented call returns all 4390 stations across SNOW/USGS/SNTL/COOP/BOR/SCAN, and the v1 OpenAPI lists no such parameter. stationTriplets=*:*:SCAN returns exactly the 211 SCAN stations."
9430556d945fe7da,nsidc-daac,data-download,DELETE-ROW,,host-decommissioned,"n5eil02u.ecs.nsidc.org (EGI subsetter) times out; the service is retired. Replacement is NASA Harmony (harmony.earthdata.nasa.gov/capabilities?collectionId=...), a different API with a different request model - not a URL edit."
6de9a5ed7c46224a,nsidc-daac,data-download,path_or_url,https://data.nsidc.earthdatacloud.nasa.gov/{cloud_path},host-decommissioned,"n5eil01u.ecs.nsidc.org refuses connections (DNS resolves, port 443 closed). Data moved to Earthdata Cloud; discover granule URLs via CMR. Two stale facts compound in the old example: SPL3SMP v008 has zero granules (current 009) and build R18290 is superseded by R19240."
48740000c8cbf3c3,nsidc-daac,metadata,path_or_url,https://nsidc.org/api/dataset/metadata/v2/oai?verb=GetRecord&metadataPrefix=dif&identifier={dataset_id},api-path-changed,"the v1 dataset-metadata path 404s into a 64 KB Drupal HTML page. The v2 OAI endpoint is what nsidc.org's own dataset pages link to; verified 200 application/xml, 56 KB."
48740000c8cbf3c3,nsidc-daac,metadata,response_format,application/xml,api-path-changed,the replacement is OAI-PMH XML rather than JSON
91b5ee6217ac28fc,nsidc-sea-ice-index,data-download,example_call,curl -O 'https://noaadata.apps.nsidc.org/NOAA/G02135/north/daily/data/N_seaice_extent_daily_v4.0.csv',stale-version-in-filename,"host and directory are fine; only the version is stale - the directory contains exactly v4.0 files. Verified 206 real CSV starting 'Year, Month, Day, Extent, Missing, Source Data'. The page's front matter is pinned to v3 throughout."
5328fda10a00e1c2,obis,data-download,DELETE-ROW,,route-does-not-exist,"/dataset/{uuid}/download returns 404 {'detail':'Not Found'} even for a valid live uuid, and the OBIS OpenAPI spec has no download route at all. The real path is to read the 'archive' field from /v3/dataset/{uuid} and fetch that source DwC-A - a two-step workflow, not a URL."
eb16262e0576d939,obis,metadata,example_call,curl https://api.obis.org/v3/dataset/5422689c-d83d-44e8-87f4-a4b0a5117181,fabricated-example-id,documented id '2' returns 500 'invalid input syntax for type uuid'. Endpoint is healthy; the example simply was not a UUID.
343ebebf76c787bc,obis-usa,data-access,path_or_url,https://api.obis.org/v3/occurrence?nodeid=b7c47783-a020-4173-b390-7b57c4fa1426&size={n},wrong-node-uuid,"the documented node uuid 3162d234-71b6-4196-b7c6-bf09ab50d1bf is not an OBIS node - obis.org/node/3162d234... returns 404 JSON. Correct OBIS USA node id derived by aggregating nodes[] across /v3/dataset?size=500; verified total 30,680,003 occurrences. Every occurrence of the old uuid on this page needs replacing."
e0a1a28e5e9b463e,obis-usa,metadata,path_or_url,https://api.obis.org/v3/dataset?nodeid=b7c47783-a020-4173-b390-7b57c4fa1426,wrong-node-uuid,verified 200 with total 521 datasets; the documented uuid returns an empty result set with a 200 status
c1f159aa88c0fb49,usgs-3dep,search,path_or_url,"https://tnmaccess.nationalmap.gov/api/v1/products?bbox={west},{south},{east},{north}&datasets=Lidar Point Cloud (LPC)&outputFormat=JSON",host-moved,apps.nationalmap.gov/tnmaccess/api/* is now the frontend SPA and returns HTML where JSON is documented. Parameters are unchanged; only the host and /v1 segment moved. Verified 200 application/json with total 1519.
3da14f4f445c5e82,usfs-rds,metadata,path_or_url,https://www.fs.usda.gov/rds/archive/products/{RDS-id}/_metadata_{RDS-id}.xml,no-json-api,"there is no JSON API on this archive - both the documented path and the api/ root are IIS 404s. Machine-readable metadata is FGDC XML; verified 200 text/xml, 22.6 KB."
3da14f4f445c5e82,usfs-rds,metadata,response_format,application/xml,no-json-api,FGDC XML rather than JSON
060f50846fd237b8,usace-frf-portal,data-download,path_or_url,https://chldata.erdc.dren.mil/thredds/fileServer/frf/{collection}/{file}.nc,dap4-suffix-unsupported,"the .dap.nc4 suffix returns 400 'Unrecognized request' - this TDS is DAP2-only (.dds works, .dmr.xml does not). The documented 202401 file also does not exist; the 2024 catalog starts at 202408. fileServer path verified 206 application/x-netcdf."
5904565b8ddfaa49,usap-dc,search,DELETE-ROW,,soft-404-catchall,"www.usap-dc.org/api/* is not an API: /api/, /api/v2, /api/datasets, /api/search, /apispec.json and /dataset_search all return the identical 14 KB site shell with HTTP 200. The only verified machine endpoint is OGC WFS on api.usap-dc.org:8443, a different service. Keeping a row that promises application/json would be a false claim."
9ba935aedf4f2a30,usda-ag-data-commons,search,path_or_url,https://api.figshare.com/v2/articles/search,api-migrated,the entire CKAN stack is gone - every data.nal.usda.gov/api/3/* URL 301s to nal.usda.gov/services/agdatacommons and returns HTML. Ag Data Commons is now Figshare-hosted. Note the portal's own /api/articles/search is a 404; use api.figshare.com.
9ba935aedf4f2a30,usda-ag-data-commons,search,method,POST,api-migrated,figshare search is POST with a JSON body
