archive_id,field,new_value,verdict,evidence
nrcs-awdb,api_doc_url,https://wcc.sc.egov.usda.gov/awdbRestApi/swagger-ui/index.html,doc-page-404,"documented AWDB_Web_Service_Reference.htm is 404; swagger-ui verified 200, raw spec at /awdbRestApi/v3/api-docs"
nsidc-daac,api_doc_url,https://nsidc.org/data/user-resources/help-center/nasa-earthdata-cloud-data-access-guide,doc-page-404,"documented programmatic-data-access-guide is 404; the cloud data access guide is the surviving page, verified 200"
nsidc-snowex,api_doc_url,https://nsidc.org/data/user-resources/help-center/nasa-earthdata-cloud-data-access-guide,doc-page-404,"same replacement as nsidc-daac"
nsidc-sea-ice-index,api_doc_url,https://nsidc.org/data/g02135/versions/4,stale-version,"documented versions/3/documentation is 404; g02135 now redirects to versions/4, verified 200. The dataset itself moved v3->v4 (see the endpoint fix)"
usgs-benchmark-glaciers,base_url,https://www.usgs.gov/data/usgs-benchmark-glacier-mass-balance-and-project-data,page-404,"documented alaska-science-center project page is a real 404 (with a browser UA); the data page is verified 200"
whoi-oa,base_url,https://darchive.mblwhoilibrary.org/,handle-prefix-not-resolvable,"hdl.handle.net/1912/ (a bare prefix) is 404 by design; the repository home is verified 200"
obis-usa,base_url,https://obis.org/node/b7c47783-a020-4173-b390-7b57c4fa1426,wrong-node-uuid,"documented node uuid is not an OBIS node (404 JSON); the correct OBIS USA node id verified 200 with 521 datasets / 30.68M occurrences"
noaa-foss,api_url,https://apps-st.fisheries.noaa.gov/ods/foss/,api-migrated,"old /foss/f?p= APEX URLs are Akamai-403 blocked; the ORDS API verified 200 JSON (metadata-catalog lists the available tables)"
noaa-inport,api_doc_url,https://www.fisheries.noaa.gov/inport/help/accessing-metadata,api-decommissioned,"documented /inport/help/api is 404 and the help index for 6.0.8 lists no API guide; accessing-metadata is the surviving access documentation"
nep-data,base_url,https://www.epa.gov/nep/local-estuary-programs,page-404,"documented state-nep-program-information is 404; the per-NEP program listing it described is verified 200"
glims,api_url,https://www.glims.org/geoserver/,host-path-moved,"/glimsview/ tree removed (nginx 404); GeoServer WMS verified 200 image/png"
glims,api_doc_url,https://www.glims.org/glacierdata/,host-path-moved,"the page GLIMS itself links the GeoServer endpoint from"
castnet,api_doc_url,https://www.epa.gov/castnet/documents-reports,doc-page-404,"documented castnet-data-reports is 404; documents-reports verified 200"
improve,api_doc_url,https://vista.cira.colostate.edu/Improve/improve-data/,page-404,"the data-products link improve_data.htm is 404; the live equivalent page verified 200"
marinegeo,base_url,https://marinegeo.si.edu/,repo-renamed,"marinegeo.github.io works but the SI site is the canonical archive home used by its own docs"
nsidc-snowex,api_url,https://cmr.earthdata.nasa.gov/search/granules.json?short_name=SNEX17_SnowPits,host-decommissioned,"n5eil01u.ecs.nsidc.org refuses connections (decommissioned ECS host); discovery now goes through CMR, verified 200 returning data.nsidc.earthdatacloud.nasa.gov granule URLs (Earthdata Login for the objects, as the page documents)"
ltar-data,api_url,https://api.figshare.com/v2,api-migrated,"data.nal.usda.gov/api/3/ is gone (301s to an NAL landing page); same Figshare migration as usda-ag-data-commons"
noaa-inport,api_url,https://www.fisheries.noaa.gov/inport/,api-decommissioned,"the /inport/api/v1 root is 404; there is no REST root any more - per-item XML is at /inport/item/{id}/inport-xml. The InPort home is the closest stable entry point, verified 200"
nps-irma,api_url,https://irmaservices.nps.gov/datastore/v7/rest/QuickSearch?q={query},api-version-retired,"the v6 root 500s and the bare v7 root 404s (controller-routed API with no index); QuickSearch verified 200 and is the natural entry point"
nps-irma,api_doc_url,https://www.nps.gov/subjects/science/datastore.htm,api-version-retired,"v6 /help 500s and v7 has no /help route; NPS's DataStore page is the surviving documentation. NOT verified with a 200 (usgs/nps UA-block curl) - flagged low-confidence"
usda-ag-data-commons,api_doc_url,https://docs.figshare.com/,api-migrated,"the old about-ag-data-commons-api page 301s to a generic NAL landing page; Figshare's API docs verified 200"
