vocab_file,slug,label,ontology,curie,term_label,match_type,notes
ecosystem_types.csv,grassland-savanna,Temperate grassland and savanna,envo,ENVO:01000193,temperate grassland biome,close,"The biome-branch class for temperate grasslands (OLS carries only a preliminary definition noting climate-type semantics) covers the tallgrass/mixedgrass/shortgrass prairie core of this row, but oak savanna falls under the sibling temperate savanna biome, so the match is close, not exact."
ecosystem_types.csv,urban,Urban,envo,ENVO:01000249,urban biome,exact,"OLS defines it as 'a dense settlement biome which has been urbanised', which denotes urban ecosystems exactly."
ecosystem_types.csv,boreal-forest,Boreal forest,envo,ENVO:01000250,subpolar coniferous forest biome,exact,"OLS defines it as 'a coniferous forest biome which includes communities adapted to subpolar conditions', which is precisely the taiga/boreal coniferous forest concept (subpolar being ENVO's climate term for boreal/subarctic)."
ecosystem_types.csv,tropical-moist-forest,Tropical / subtropical moist forest,envo,ENVO:01000228,tropical moist broadleaf forest biome,close,"OLS defines it as 'a tropical moist broadleaf forest in which dominant ecological communities have reached their climax successional state', denoting the Caribbean/Pacific-island moist forests here, though the row's subtropical portion is covered by a sibling class rather than this one."
ecosystem_types.csv,freshwater-lake,Freshwater lake,envo,ENVO:01000252,freshwater lake biome,exact,"OLS defines it as 'a biome which is determined by a freshwater lake', denoting inland freshwater lake systems exactly, with size-based subclasses covering the temperate and subarctic lakes in scope."
ecosystem_types.csv,freshwater-stream,Freshwater stream / watershed,envo,ENVO:01000253,freshwater river biome,close,"OLS defines it as 'a freshwater biome which is determined by a freshwater river', ENVO's biome-branch class for lotic systems including headwater subclasses, though the row's watershed/catchment framing is slightly wider than the river channel itself."
ecosystem_types.csv,wetland,Wetland,envo,ENVO:01001209,wetland ecosystem,exact,OLS defines it as an ecosystem 'inundated or saturated by surface or ground water at a frequency and duration sufficient to support... vegetation typically adapted for life in saturated soil conditions' — the canonical wetland definition — and its subclasses span the row's inland (freshwater) and coastal wetlands; ENVO has no wetland class in the biome branch.
ecosystem_types.csv,agroecosystem,Agroecosystem,envo,ENVO:01000219,anthropogenic terrestrial biome,broad,"No single ENVO biome covers both cropping and rangeland; this biome-branch class (OLS definition is preliminary) is the confirmed parent of both cropland biome and rangeland biome ('an anthropogenic terrestrial biome which is primarily used for the rearing and grazing of livestock'), so it is the umbrella over the row's two system types, though it also includes settlement biomes."
ecosystem_types.csv,glacier-icefield,Glacier / icefield,envo,ENVO:00000133,glacier,close,"OLS defines it as 'an ice mass which is of sufficient mass that the action of gravity upon it overcomes the frictional forces holding it in place, causing it to deform and flow towards lower elevation', which covers glaciers and (per ENVO, ice sheet is 'a glacier which covers an area of greater than 50,000 square kilometers') ice sheets, with static ice fields the only marginal case; ENVO has no glacial biome."
life_zones.csv,warm-temperate-moist-forest,Warm temperate moist forest,envo,ENVO:01000202,temperate broadleaf forest biome,close,"OLS defines this as 'a broadleaf forest which is subject to temperate climate patterns', which matches the humid warm-temperate forest zone typically dominated by broadleaf forest, though ENVO carries no Holdridge humidity-province axis."
life_zones.csv,cool-temperate-moist-forest,Cool temperate moist forest,envo,ENVO:01000212,temperate mixed forest biome,close,"OLS defines this as 'a temperate mixed forest in which dominant ecological communities have reached their climax successional state', matching the mixed needleleaf-broadleaf communities characteristic of cool temperate moist forest, minus the Holdridge biotemperature/humidity qualifiers."
life_zones.csv,warm-temperate-dry-forest,Warm temperate dry forest,envo,ENVO:01000395,temperate sclerophyllous dry forest,close,"OLS defines this as 'a sclerophyllous forest which is subject to temperate climate patterns', which denotes the hard-leaved dry woodland vegetation typical of the Holdridge warm temperate dry forest zone (note: a forest-ecosystem class, not in the biome branch)."
life_zones.csv,warm-temperate-thorn-steppe,Warm temperate thorn steppe,envo,ENVO:01000215,temperate shrubland biome,close,"OLS defines this as 'a shrubland biome which is subject to temperate climate patterns', overlapping the semiarid thorny-shrub-and-short-grass thorn steppe zone but without the thorn-scrub and aridity specificity."
life_zones.csv,cool-temperate-wet-forest,Cool temperate wet forest,envo,ENVO:01000211,temperate coniferous forest biome,close,"OLS defines this as 'a coniferous forest biome which is subject to temperate climate patterns'; high-precipitation cool temperate forest zones are characteristically conifer-dominated, and ENVO has no temperate wet/rain forest class."
life_zones.csv,warm-temperate-montane-moist-forest,Warm temperate montane moist forest,envo,ENVO:01001836,montane biome,broad,"OLS defines this as 'a biome which is subject to montane altitudinal conditions', a true umbrella for any montane life zone since ENVO lacks climate- and humidity-specific montane forest biomes."
life_zones.csv,warm-temperate-subalpine-wet-forest,Warm temperate subalpine wet forest,envo,ENVO:01001837,subalpine biome,broad,"OLS defines this as 'a biome which is subject to subapline altitudinal conditions', a parent umbrella for the subalpine wet forest zone since ENVO has no subalpine forest biome with climate/humidity qualifiers."
life_zones.csv,cool-temperate-desert-scrub,Cool temperate desert scrub,envo,ENVO:01000242,desert scrubland,close,"OLS defines this as 'a scrubland which is located in a desert', denoting the same desert-scrub vegetation concept but without the cool temperate climate qualifier (and outside the biome branch)."
life_zones.csv,cool-temperate-subalpine-wet-forest,Cool temperate subalpine wet forest,envo,ENVO:01001837,subalpine biome,broad,"OLS defines this as 'a biome which is subject to subapline altitudinal conditions', a parent umbrella for the cool temperate subalpine wet forest (typically spruce-fir) zone, which ENVO does not represent at that specificity."
life_zones.csv,cool-temperate-subalpine-rain-forest,Cool temperate subalpine rain forest,envo,ENVO:01001837,subalpine biome,broad,"OLS defines this as 'a biome which is subject to subapline altitudinal conditions', the closest umbrella since ENVO has neither a subalpine forest biome nor any temperate rain forest class."
life_zones.csv,warm-temperate-montane-wet-forest,Warm temperate montane wet forest,envo,ENVO:01001836,montane biome,broad,"OLS defines this as 'a biome which is subject to montane altitudinal conditions', a true parent of the montane wet forest zone; ENVO's montane forest classes are tropical-only or definition-pending groupings."
life_zones.csv,warm-temperate-alpine-rain-tundra,Warm temperate alpine rain tundra,envo,ENVO:01001505,alpine tundra biome,close,"OLS defines this as 'a tundra biome which exists at high altitudes and where vegetation - dominated by a few species of dwarf shrubs, a few grasses, sedges, lichens, and mosses - is stunted due to low temperatures and high winds', the same concept minus the warm-temperate latitudinal belt and 'rain' humidity qualifiers."
life_zones.csv,cool-temperate-rain-forest,Cool temperate rain forest,envo,ENVO:01000211,temperate coniferous forest biome,close,"ENVO has no temperate rainforest class, and cool temperate rain forest zones are exemplified by conifer-dominated temperate rainforests matching the OLS definition 'a coniferous forest biome which is subject to temperate climate patterns'."
life_zones.csv,warm-temperate-subalpine-rain-forest,Warm temperate subalpine rain forest,envo,ENVO:01001837,subalpine biome,broad,"OLS defines this as 'a biome which is subject to subapline altitudinal conditions', the closest defensible umbrella since ENVO represents neither subalpine forest biomes nor temperate rain forest."
life_zones.csv,subtropical-moist-forest,Subtropical moist forest,envo,ENVO:01000226,subtropical moist broadleaf forest biome,close,"OLS defines this as 'a subtropical moist broadleaf forest in which dominant ecological communities have reached their climax successional state', matching the Holdridge subtropical moist forest zone except that ENVO restricts it to broadleaf vegetation."
life_zones.csv,subtropical-dry-forest,Subtropical dry forest,envo,ENVO:01000225,subtropical dry broadleaf forest biome,close,"OLS defines this as 'a subtropical dry broadleaf forest in which dominant ecological communities have reached their climax successional state', with the underlying class describing warm climate with long dry seasons, matching the Holdridge subtropical dry forest zone except for the broadleaf restriction."
life_zones.csv,subtropical-rain-forest,Subtropical rain forest,envo,ENVO:01000226,subtropical moist broadleaf forest biome,broad,"ENVO has no separate subtropical rain forest class, and this biome's underlying class is defined with '>200 centimeter [rainfall] annually' and evergreen-dominated tree communities, an umbrella spanning the Holdridge moist-through-rain subtropical humidity provinces."
life_zones.csv,boreal-moist-forest,Boreal moist forest,envo,ENVO:01000250,subpolar coniferous forest biome,broad,"OLS defines this as 'a coniferous forest biome which includes communities adapted to subpolar conditions', ENVO's boreal forest/taiga concept, which subsumes all boreal humidity provinces rather than distinguishing moist from wet."
life_zones.csv,boreal-wet-forest,Boreal wet forest,envo,ENVO:01000250,subpolar coniferous forest biome,broad,"OLS defines this as 'a coniferous forest biome which includes communities adapted to subpolar conditions', the boreal forest/taiga umbrella that subsumes the wet humidity province without representing it separately."
life_zones.csv,polar-desert,Polar desert,envo,ENVO:01000186,polar desert biome,exact,"The ENVO class 'polar desert biome' denotes precisely the polar desert life zone by its label and its placement under desert/polar biomes, although its OLS definition is still the editorial placeholder 'Preliminary definition...' pending formalization of climate-type semantics."
spheres.csv,arid,Arid,envo,ENVO:01000179,desert biome,close,"Umbrella over hot/cold/temperate/polar desert biomes; semi-arid shrublands sit just outside strict desert, so close rather than exact. Same term as the arid-land ecosystem type."
