openalex_id,openalex_label,area_id,confidence,notes
T12071,Marine Biology and Environmental Chemistry,marine-ecosystems,medium,
T11879,Protist diversity and phylogeny,biological-oceanography,medium,
T13388,Rangeland and Wildlife Management,coastal-terrestrial-ecosystems,low,
T10555,Fire effects on ecosystems,coastal-disturbance,medium,
T12614,Indigenous Studies and Ecology,marine-policy-and-socio-economics,medium,
# ============ Long Tail topics — broad LTER / freshwater / disturbance / etc ============
T11405,Geophysics and Gravity Measurements,marine-geology,low,
T10399,Hydrocarbon exploration and reservoir analysis,marine-geology,low,
T13193,Geological Studies and Exploration,marine-geology,low,
T10413,High-pressure geophysics and materials,marine-geology,low,
T11362,Membrane Separation and Gas Transport,,low,off-domain
T10295,Plasmonic and Surface Plasmon Research,,low,off-domain
T10299,Photonic and Optical Devices,,low,off-domain
T11854,Laser-induced spectroscopy and plasma,,low,off-domain
T10257,Oral microbiology and periodontitis research,,low,off-domain
T10261,Genetic Associations and Epidemiology,,low,off-domain
T10031,T-cell and B-cell Immunology,,low,off-domain
T11020,Immune Cell Function and Interaction,,low,off-domain
T10878,CRISPR and Genetic Engineering,,low,off-domain
T10268,Developmental Biology and Gene Regulation,,low,off-domain
T10015,Genomics and Phylogenetic Studies,,low,off-domain
T10266,Plant Water Relations and Carbon Dynamics,coastal-terrestrial-ecosystems,low,
T10751,Forensic and Genetic Research,,low,off-domain
# ============ CONCEPTS (Cnnnnnnnnnn) — older 6-level Wikidata-derived hierarchy ============
# Only a handful are useful; the canonical OpenAlex topics above are
# already higher-quality, but concepts give us an additional fallback
# when topics are missing for older publications.
C39432304,Environmental science,marine-ecosystems,low,
C111368507,Earth science,oceanography,low,
C107826830,Geology,marine-geology,low,
C18903297,Ecosystem,marine-ecosystems,low,
C53570757,Estuary,estuaries-and-wetlands,medium,
C19354541,Mangrove,mangroves,high,
C2778870195,Seagrass,seagrass,high,
C2778889925,Coral reef,coral-reefs,high,
C151730666,Phytoplankton,biological-oceanography,medium,
C2776035688,Sea level rise,climate-and-sea-level,high,
C2779080207,Coastal erosion,coastal-erosion,high,
C2992653833,Salt marsh,salt-marshes,high,
C2780887740,Marine ecosystem,marine-ecosystems,high,
C194969405,Sediment transport,sediment-transport,high,
C2778312941,Ocean acidification,ocean-acidification,high,
C2779010993,Tidal wetland,tidal-wetlands,high,
C181199279,Algal bloom,harmful-algal-blooms,high,
C26873012,Coastal management,marine-policy-and-socio-economics,medium,
C2778572836,Marine debris,marine-debris-and-plastics,high,
C2779343474,Microplastic,marine-debris-and-plastics,high,
C156695742,Tsunami,tsunamis-and-coastal-hazards,high,
C204323151,Aquaculture,fisheries-and-aquaculture,high,
C111368507,Fishery,fisheries-and-aquaculture,high,
C2776638537,Kelp forest,kelp-forests,high,
C115343472,Kelp,kelp-forests,medium,
C2780377012,Polar regions,polar-and-cryosphere,high,
C156325361,Cetacean,marine-mammals,high,
C2779066055,Pinniped,marine-mammals,high,
C95124753,Seabird,seabirds,high,
C2779345533,Deep sea,deep-sea,high,
C172925046,Long-Term Ecological Research,long-term-ecological-research,high,
C57879066,Remote sensing,remote-sensing,medium,
C95457728,Great Lakes,great-lakes,high,
